CO,NO,NO2,NOX,O3,PM10,PM25,PRS,RAINF,RH,SO2,SR,TOUT,WDR,WDV,WSR,CO_imputed,NO_imputed,NO2_imputed,NOX_imputed,O3_imputed,PM10_imputed,PM25_imputed,PRS_imputed,RAINF_imputed,RH_imputed,SO2_imputed,SR_imputed,TOUT_imputed,WDR_imputed,WDV_imputed,WSR_imputed
2.81,56.3962550783698,43.6,143.04500000000007,11.138732591515389,214.0,70.0,714.0,0.0,49.0,4.7,0.0,10.71,315.0,0.0,5.5,False,True,False,False,True,False,False,False,False,False,False,False,False,False,True,False
2.66,62.087197429501344,28.5,122.2,5.202720550136686,187.0,65.0,713.7,0.0,46.0,4.0,0.0,10.6,302.0,0.0,8.1,False,True,False,False,True,False,False,False,False,False,False,False,False,False,True,False
2.41,66.3,26.1,92.3,4.743215988775447,169.0,64.0,713.6,0.0,42.0,3.6,0.0,11.51,276.0,0.0,8.2,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False
2.46,66.3,26.7,93.0,4.611829107948116,151.0,57.0,713.6,0.0,42.0,3.7,0.0,11.98,271.0,0.0,8.0,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False
2.83,75.11547155561874,34.0,125.1,6.892237788253514,181.0,57.0,713.7,0.0,41.0,4.4,0.012,11.88,265.0,0.0,6.2,False,True,False,False,True,False,False,False,False,False,False,False,False,False,True,False
2.7726908204271083,61.24132331980205,30.2,143.04500000000007,6.104480696979412,228.0,61.0,714.1,0.0,38.0,4.2,0.123,13.51,315.0,0.0,6.6,True,True,False,False,True,False,False,False,False,False,False,False,False,False,True,False
2.88,57.360006210284126,22.7,133.5,6.727269680045591,229.0,64.0,714.4,0.0,26.0,3.6,0.271,17.91,291.0,0.0,5.7,False,True,False,False,True,False,False,False,False,False,False,False,False,False,True,False
2.68,43.504656892548155,16.5,113.1,5.0,226.0,49.0,714.2,0.0,19.0,3.2,0.394,22.35,268.0,0.0,6.9,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False
2.46,48.30836098601857,19.5,90.1,5.0,208.0,38.0,713.5,0.0,12.0,3.0,0.481,25.9,289.0,0.0,5.8,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False
2.14,41.1,18.3,59.4,5.0,148.0,24.0,712.4,0.0,9.0,2.8,0.482,29.37,310.0,0.0,3.3,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False
